"(a, b, c)",weight_symmetric,accuracy_score
"(1, 1, 1)",symmetric,0.7808219178082192
"(1, 2, 1)",symmetric,0.7808219178082192
"(1, 0.5, 1)",symmetric,0.821917808219178
"(1, 1, 0)",asymmetric,0.7534246575342466
"(0, 1, 1)",asymmetric,0.6986301369863014
"(2, 1, 0.5)",asymmetric,0.8493150684931506
"(0.5, 1, 2)",asymmetric,0.726027397260274
