"(a, b, c)",weight_symmetric,accuracy_score
"(1, 1, 1)",symmetric,0.9
"(1, 2, 1)",symmetric,0.92
"(1, 0.5, 1)",symmetric,0.8466666666666667
"(0.5, 1, 0.5)",symmetric,0.92
"(1, 1, 0)",asymmetric,0.9066666666666666
"(0, 1, 1)",asymmetric,0.9266666666666666
"(2, 1, 0.5)",asymmetric,0.9133333333333333
"(0.5, 1, 2)",asymmetric,0.92
