"(a, b, c)",weight_symmetric,accuracy_score
"(1, 1, 1)",symmetric,0.8181818181818182
"(1, 2, 1)",symmetric,0.8409090909090909
"(1, 0.5, 1)",symmetric,0.7613636363636364
"(1, 1, 0)",asymmetric,0.4772727272727273
"(0, 1, 1)",asymmetric,0.8409090909090909
"(2, 1, 0.5)",asymmetric,0.7159090909090909
"(0.5, 1, 2)",asymmetric,0.8522727272727273
