"(a, b, c)",weight_symmetric,accuracy_score
"(1, 1, 1)",symmetric,0.8214285714285714
"(1, 2, 1)",symmetric,0.7857142857142857
"(1, 0.5, 1)",symmetric,0.8214285714285714
"(1, 1, 0)",asymmetric,0.6428571428571429
"(0, 1, 1)",asymmetric,0.8571428571428571
"(2, 1, 0.5)",asymmetric,0.7857142857142857
"(0.5, 1, 2)",asymmetric,0.7857142857142857
